localhost/voipmonitor/build-candidates	jj-r38-runtime-20260915T163156Z-64815	ea031e1d3d05	35.9 GB	About an hour ago
<none>	<none>	c59a3e5b7ec8	24.6 GB	8 weeks ago
<none>	<none>	94cb179016da	24.6 GB	8 weeks ago
<none>	<none>	c42950ef3628	24.6 GB	8 weeks ago
<none>	<none>	a6fe679c2f85	24.6 GB	8 weeks ago
<none>	<none>	88e0fd27252b	24.6 GB	8 weeks ago
<none>	<none>	8c68f49f736d	24.6 GB	8 weeks ago
<none>	<none>	d10505bda915	24.6 GB	8 weeks ago
<none>	<none>	3d6d7134f8b0	24.6 GB	8 weeks ago
<none>	<none>	deb9a7cb3d4a	24.6 GB	8 weeks ago
<none>	<none>	91208c1e36da	24.6 GB	8 weeks ago
<none>	<none>	096fada8b86c	24.6 GB	8 weeks ago
<none>	<none>	7021cdce813c	24.6 GB	8 weeks ago
<none>	<none>	de954bcf7452	24.6 GB	8 weeks ago
<none>	<none>	fd9b3fc82fe6	24.6 GB	8 weeks ago
<none>	<none>	113a429dfde3	24.6 GB	8 weeks ago
<none>	<none>	b431bfe7a3f5	24.6 GB	8 weeks ago
<none>	<none>	2e9fc03e6ac7	24.6 GB	8 weeks ago
<none>	<none>	93ba174b3f28	23.9 GB	8 weeks ago
<none>	<none>	9486457d3e16	23.9 GB	8 weeks ago
<none>	<none>	fcee2387d018	23.9 GB	8 weeks ago
<none>	<none>	09dabedd05fd	23.9 GB	8 weeks ago
<none>	<none>	1a9f47793e68	22.6 GB	8 weeks ago
<none>	<none>	98a8c03c6fa1	22.6 GB	8 weeks ago
<none>	<none>	34d5b22ecccf	22.6 GB	8 weeks ago
<none>	<none>	e295e4d0f868	22.6 GB	8 weeks ago
<none>	<none>	758c73c6ee1a	22.6 GB	8 weeks ago
<none>	<none>	0da8982e5411	22.6 GB	8 weeks ago
<none>	<none>	d0af3f1f2b9a	22.6 GB	8 weeks ago
<none>	<none>	204befe7b74c	22.6 GB	8 weeks ago
<none>	<none>	696dcd6d83a5	22.6 GB	8 weeks ago
<none>	<none>	3877545ff32f	22.6 GB	8 weeks ago
<none>	<none>	2398228404df	21.1 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p1-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	6dee37f8af25	24.6 GB	8 weeks ago
<none>	<none>	50322b58b9e0	24.6 GB	8 weeks ago
<none>	<none>	a2c2dab8ec39	24.6 GB	8 weeks ago
<none>	<none>	75a5594cd938	24.6 GB	8 weeks ago
<none>	<none>	abe857bb67ff	24.6 GB	8 weeks ago
<none>	<none>	112138717892	24.6 GB	8 weeks ago
<none>	<none>	abda0068f539	24.6 GB	8 weeks ago
<none>	<none>	a54a711bbabb	24.6 GB	8 weeks ago
<none>	<none>	7bf50226c3b2	24.6 GB	8 weeks ago
<none>	<none>	b61d4fc959ca	24.6 GB	8 weeks ago
<none>	<none>	1fd20e34688a	24.6 GB	8 weeks ago
<none>	<none>	f2386a3798f6	24.6 GB	8 weeks ago
<none>	<none>	66dd5589148d	24.6 GB	8 weeks ago
<none>	<none>	bc7b1108b252	24.6 GB	8 weeks ago
<none>	<none>	a0eba3762f7a	24.6 GB	8 weeks ago
<none>	<none>	28ceff850cea	24.6 GB	8 weeks ago
<none>	<none>	df66e253443c	24.6 GB	8 weeks ago
<none>	<none>	3544e29be992	24.6 GB	8 weeks ago
<none>	<none>	83741cd1f1ad	24.6 GB	8 weeks ago
<none>	<none>	67bbbfce44ca	24.6 GB	8 weeks ago
<none>	<none>	7b3a95bb3483	24.6 GB	8 weeks ago
<none>	<none>	4c930b7ee0e7	24.6 GB	8 weeks ago
<none>	<none>	90fb7f2f5367	24.6 GB	8 weeks ago
<none>	<none>	5cfb2ba72f73	24.6 GB	8 weeks ago
<none>	<none>	8c5b91d51207	24.6 GB	8 weeks ago
<none>	<none>	257b6abf6159	24.6 GB	8 weeks ago
<none>	<none>	99fce0c3d4e5	24.6 GB	8 weeks ago
<none>	<none>	7f078287d8ce	24.6 GB	8 weeks ago
<none>	<none>	501df1b635e9	24.6 GB	8 weeks ago
<none>	<none>	10823d7aa680	23.9 GB	8 weeks ago
<none>	<none>	9c1a1adeb276	23.9 GB	8 weeks ago
<none>	<none>	d27b1db2a748	23.9 GB	8 weeks ago
<none>	<none>	95c2825c0402	23.9 GB	8 weeks ago
<none>	<none>	223ef0564671	22.6 GB	8 weeks ago
<none>	<none>	b3fb47fbcd30	22.6 GB	8 weeks ago
<none>	<none>	bee7d1973cdd	22.6 GB	8 weeks ago
<none>	<none>	6da2934202ec	22.6 GB	8 weeks ago
<none>	<none>	4c586cc0ba16	22.6 GB	8 weeks ago
<none>	<none>	58df8f692885	22.6 GB	8 weeks ago
<none>	<none>	4b7b8f7241dd	22.6 GB	8 weeks ago
<none>	<none>	e83df950a5b4	22.6 GB	8 weeks ago
<none>	<none>	97730ad71c56	22.6 GB	8 weeks ago
<none>	<none>	0a7a1e69a407	22.6 GB	8 weeks ago
<none>	<none>	04a7e1c3857e	21.1 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	a60741b76f22	24.6 GB	8 weeks ago
<none>	<none>	e722f1fae867	24.6 GB	8 weeks ago
<none>	<none>	89b75b6db903	24.6 GB	8 weeks ago
<none>	<none>	331d2af0112b	24.6 GB	8 weeks ago
<none>	<none>	043ee0bfb777	24.6 GB	8 weeks ago
<none>	<none>	985aa3c4a2a2	24.6 GB	8 weeks ago
<none>	<none>	6172da051c06	24.6 GB	8 weeks ago
<none>	<none>	ae96b9bf32b0	24.6 GB	8 weeks ago
<none>	<none>	c96ef942c91e	24.6 GB	8 weeks ago
<none>	<none>	ef16d5f5b137	24.6 GB	8 weeks ago
<none>	<none>	e6dd10979751	24.6 GB	8 weeks ago
<none>	<none>	5e667165c3bc	24.6 GB	8 weeks ago
<none>	<none>	bc54f004246b	24.6 GB	8 weeks ago
<none>	<none>	18c161cb2fc5	24.6 GB	8 weeks ago
<none>	<none>	186ddf5fd91a	24.6 GB	8 weeks ago
<none>	<none>	dec03b3a09fc	24.6 GB	8 weeks ago
<none>	<none>	c07cee14c9cd	24.6 GB	8 weeks ago
<none>	<none>	e87c11fef49a	24.6 GB	8 weeks ago
<none>	<none>	f7ab782effa4	24.6 GB	8 weeks ago
<none>	<none>	5262f0fd7587	24.6 GB	8 weeks ago
<none>	<none>	d95a60c61d7b	24.6 GB	8 weeks ago
<none>	<none>	0c0c332dcc10	24.6 GB	8 weeks ago
<none>	<none>	604c27207634	24.6 GB	8 weeks ago
<none>	<none>	38e5367dcb77	24.6 GB	8 weeks ago
<none>	<none>	4c7fba3a9815	24.6 GB	8 weeks ago
<none>	<none>	907f874d24d2	24.6 GB	8 weeks ago
<none>	<none>	cb84a1a1d703	24.6 GB	8 weeks ago
<none>	<none>	4e0c351d0b0f	24.6 GB	8 weeks ago
<none>	<none>	f2061858ca41	24.6 GB	8 weeks ago
<none>	<none>	4f66fad0adf2	23.9 GB	8 weeks ago
<none>	<none>	6aef452f5d59	23.9 GB	8 weeks ago
<none>	<none>	64df387dde6e	23.9 GB	8 weeks ago
<none>	<none>	3b5e100aec86	23.9 GB	8 weeks ago
<none>	<none>	6c5754ad5bdd	22.6 GB	8 weeks ago
<none>	<none>	8851831068dc	22.6 GB	8 weeks ago
<none>	<none>	6f4c2f9a11ec	22.6 GB	8 weeks ago
<none>	<none>	e6993e90faef	22.6 GB	8 weeks ago
<none>	<none>	a5655c57a32e	22.6 GB	8 weeks ago
<none>	<none>	8aec3fcffd31	22.6 GB	8 weeks ago
<none>	<none>	6b097327d7b3	22.6 GB	8 weeks ago
<none>	<none>	d2d9c9ac7f8b	22.6 GB	8 weeks ago
<none>	<none>	7b3ba08c9b88	22.6 GB	8 weeks ago
<none>	<none>	280599510d8d	22.6 GB	8 weeks ago
<none>	<none>	a719e3d01328	21.1 GB	8 weeks ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p3-spark-sm121-vllm6a5a106-b12xfe06f49-fic0700ff-cu132-20260716	f48058737ff9	24.6 GB	2 months ago
<none>	<none>	4042b44fa62e	24.6 GB	2 months ago
<none>	<none>	ecb3952b2b07	24.6 GB	2 months ago
<none>	<none>	3e3736e4e09c	24.6 GB	2 months ago
<none>	<none>	3ffee73ad76b	24.6 GB	2 months ago
<none>	<none>	eab450013d7c	24.6 GB	2 months ago
<none>	<none>	f9ee6dea647b	24.6 GB	2 months ago
<none>	<none>	91eb8f084474	24.6 GB	2 months ago
<none>	<none>	c26d77a07c16	24.6 GB	2 months ago
<none>	<none>	c124f334e7b5	24.6 GB	2 months ago
<none>	<none>	c8e8a6ac01db	24.6 GB	2 months ago
<none>	<none>	41f03aa4cd30	24.6 GB	2 months ago
<none>	<none>	e528af6ba1ff	24.6 GB	2 months ago
<none>	<none>	28c8fabb6018	24.6 GB	2 months ago
<none>	<none>	40074d13bffe	24.6 GB	2 months ago
<none>	<none>	2a58f0864a89	24.6 GB	2 months ago
<none>	<none>	99bf7df910c3	24.6 GB	2 months ago
<none>	<none>	edc2a9100ffc	24.6 GB	2 months ago
<none>	<none>	35990aa8f074	24.6 GB	2 months ago
<none>	<none>	e87ddc9a9b8e	24.6 GB	2 months ago
<none>	<none>	296c747e4314	24.6 GB	2 months ago
<none>	<none>	426836bb80d3	24.6 GB	2 months ago
<none>	<none>	d732a4272efa	24.6 GB	2 months ago
<none>	<none>	f426bc8f78f1	24.6 GB	2 months ago
<none>	<none>	e47102e35c95	24.6 GB	2 months ago
<none>	<none>	46186012b494	24.6 GB	2 months ago
<none>	<none>	3a4216cec1d7	24.6 GB	2 months ago
<none>	<none>	014f9bce8a9b	24.6 GB	2 months ago
<none>	<none>	4d72422ff754	24.6 GB	2 months ago
<none>	<none>	05eb3b8dca5b	23.9 GB	2 months ago
<none>	<none>	c669e63bf1cd	23.9 GB	2 months ago
<none>	<none>	cd68bf349419	23.9 GB	2 months ago
<none>	<none>	e94867076732	23.9 GB	2 months ago
<none>	<none>	79e7223064b8	22.6 GB	2 months ago
<none>	<none>	1da0375c2c3a	22.6 GB	2 months ago
<none>	<none>	0b79c9ea6d07	22.6 GB	2 months ago
<none>	<none>	c36a64b700a1	22.6 GB	2 months ago
<none>	<none>	c8da499f3d73	22.6 GB	2 months ago
<none>	<none>	446922818157	22.6 GB	2 months ago
<none>	<none>	b9ffd65901d3	22.6 GB	2 months ago
<none>	<none>	bc7043e32541	22.6 GB	2 months ago
<none>	<none>	9650149a6807	22.6 GB	2 months ago
<none>	<none>	ebb6c82d50e0	22.6 GB	2 months ago
<none>	<none>	33284cc66fdf	21.1 GB	2 months ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p2-spark-sm121-vllm8f86f42-b12x1bcc652-fi3245a18-cu132-20260716	4a062ad1cb95	24.6 GB	2 months ago
<none>	<none>	e62ee4038edf	24.6 GB	2 months ago
<none>	<none>	e8bccab79449	24.6 GB	2 months ago
<none>	<none>	4c71a55c73ee	24.6 GB	2 months ago
<none>	<none>	80e9a304e2ed	24.6 GB	2 months ago
<none>	<none>	9f909ff10014	24.6 GB	2 months ago
<none>	<none>	2221cd2c7ddd	24.6 GB	2 months ago
<none>	<none>	33c43d85b110	24.6 GB	2 months ago
<none>	<none>	f4f6e7fa0a98	24.6 GB	2 months ago
<none>	<none>	fd256434f2de	24.6 GB	2 months ago
<none>	<none>	13ab8967a981	24.6 GB	2 months ago
<none>	<none>	a7037b9ca49c	24.6 GB	2 months ago
<none>	<none>	e17abff598d5	24.6 GB	2 months ago
<none>	<none>	ab5d8d376dd4	24.6 GB	2 months ago
<none>	<none>	e4fbbf427577	24.6 GB	2 months ago
<none>	<none>	d821139faaa8	24.6 GB	2 months ago
<none>	<none>	435d9a310f9f	24.6 GB	2 months ago
<none>	<none>	586eb26385a4	24.6 GB	2 months ago
<none>	<none>	8e55b36ed691	24.6 GB	2 months ago
<none>	<none>	a9d501c1225a	24.6 GB	2 months ago
<none>	<none>	bb329bf70f31	24.6 GB	2 months ago
<none>	<none>	d84c1672a01c	24.6 GB	2 months ago
<none>	<none>	3da42acdf937	24.6 GB	2 months ago
<none>	<none>	740e74fbcf1b	24.6 GB	2 months ago
<none>	<none>	8dca8c71d9a3	24.6 GB	2 months ago
<none>	<none>	2fc3435f2d2c	24.6 GB	2 months ago
<none>	<none>	acf68c2eec10	24.6 GB	2 months ago
<none>	<none>	843be3d0809a	24.6 GB	2 months ago
<none>	<none>	244577059271	24.6 GB	2 months ago
<none>	<none>	ab68670ac51a	23.9 GB	2 months ago
<none>	<none>	31f71f546448	23.9 GB	2 months ago
<none>	<none>	3f68eeaf3a9f	23.9 GB	2 months ago
<none>	<none>	acb8b51b9283	23.9 GB	2 months ago
<none>	<none>	ad4c3a2e9d86	22.6 GB	2 months ago
<none>	<none>	057ff7f73a99	22.6 GB	2 months ago
<none>	<none>	9f28ec4cafd6	22.6 GB	2 months ago
<none>	<none>	7ca507861928	22.6 GB	2 months ago
<none>	<none>	1389e1556492	22.6 GB	2 months ago
<none>	<none>	6a7a25acae2d	22.6 GB	2 months ago
<none>	<none>	770bfa78e0c8	22.6 GB	2 months ago
<none>	<none>	9c894a318879	22.6 GB	2 months ago
<none>	<none>	02dbc2fa2569	22.6 GB	2 months ago
<none>	<none>	09dcab663cb6	22.6 GB	2 months ago
<none>	<none>	5552c0367f5c	21.1 GB	2 months ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p1-spark-sm121-vllm8f86f42-b12x1bcc652-fi801d57a-cu132-20260716	4cec256d3b2a	24.6 GB	2 months ago
<none>	<none>	7b2a8e92ccb0	24.6 GB	2 months ago
<none>	<none>	e89055b8ec4d	24.6 GB	2 months ago
<none>	<none>	00c2ee4b43f0	24.6 GB	2 months ago
<none>	<none>	1d229938a80e	24.6 GB	2 months ago
<none>	<none>	063c4adda1dd	24.6 GB	2 months ago
<none>	<none>	969208a1b1b1	24.6 GB	2 months ago
<none>	<none>	8aa87bf6c608	24.6 GB	2 months ago
<none>	<none>	328b61cfab32	24.6 GB	2 months ago
<none>	<none>	93fe9e01273c	24.6 GB	2 months ago
<none>	<none>	5cfde0c077f7	24.6 GB	2 months ago
<none>	<none>	fabef5a14ee3	24.6 GB	2 months ago
<none>	<none>	9884f01ef5a5	24.6 GB	2 months ago
<none>	<none>	182621958e2c	24.6 GB	2 months ago
<none>	<none>	582e20a89656	24.6 GB	2 months ago
<none>	<none>	db1498a6b366	24.6 GB	2 months ago
<none>	<none>	7d04766793a3	24.6 GB	2 months ago
<none>	<none>	dcc7474ede3d	24.6 GB	2 months ago
<none>	<none>	772b4b0d26c9	24.6 GB	2 months ago
<none>	<none>	15c4c290eac0	24.6 GB	2 months ago
<none>	<none>	65155139f6ea	24.6 GB	2 months ago
<none>	<none>	02efe5a6431c	24.6 GB	2 months ago
<none>	<none>	95bc63ddde12	24.6 GB	2 months ago
<none>	<none>	5608019ff1e1	24.6 GB	2 months ago
<none>	<none>	7c1bd7edf358	24.6 GB	2 months ago
<none>	<none>	7b4c17b95c3c	24.6 GB	2 months ago
<none>	<none>	f60477751821	24.6 GB	2 months ago
<none>	<none>	3781e215de7d	24.6 GB	2 months ago
<none>	<none>	cd1dc0bf1f1d	24.6 GB	2 months ago
<none>	<none>	2751c51f12b4	23.9 GB	2 months ago
<none>	<none>	89aa5af152e6	23.9 GB	2 months ago
<none>	<none>	23f9e06a89d4	23.9 GB	2 months ago
<none>	<none>	d7f18c3ec12a	23.9 GB	2 months ago
<none>	<none>	7f1d207f55a4	22.6 GB	2 months ago
<none>	<none>	12dd2a354be4	22.6 GB	2 months ago
<none>	<none>	c987fef2f30d	22.6 GB	2 months ago
<none>	<none>	1c6ffe1a93a6	22.6 GB	2 months ago
<none>	<none>	950540b1c584	22.6 GB	2 months ago
<none>	<none>	14c053e85174	22.6 GB	2 months ago
<none>	<none>	672261e61157	22.6 GB	2 months ago
<none>	<none>	292a046b64be	22.6 GB	2 months ago
<none>	<none>	7ad7d69688cb	22.6 GB	2 months ago
<none>	<none>	b1c28f11ee47	22.6 GB	2 months ago
<none>	<none>	5ff741b83d99	21.1 GB	2 months ago
localhost/voipmonitor/vllm	spark-sm121-cu132-build-base-20260708	b691691f4644	18.9 GB	2 months ago
<none>	<none>	515a75de3a9d	18.9 GB	2 months ago
<none>	<none>	881356b164be	18.9 GB	2 months ago
<none>	<none>	13dbcaa95e9b	18.9 GB	2 months ago
<none>	<none>	f47bd9db5ac6	18.9 GB	2 months ago
<none>	<none>	67392eb4bf55	18.9 GB	2 months ago
<none>	<none>	da7db26c2c3b	18.9 GB	2 months ago
<none>	<none>	c1691db2c408	18.2 GB	2 months ago
<none>	<none>	d1f7833c57e3	18.2 GB	2 months ago
<none>	<none>	5202a6d10584	18.2 GB	2 months ago
<none>	<none>	417cb8ca7bca	12.7 GB	2 months ago
<none>	<none>	ab8484d9d26a	12.7 GB	2 months ago
<none>	<none>	56f18de730d8	12.6 GB	2 months ago
localhost/voipmonitor/vllm	spark-sm121-cu132-system-base-20260708	696f9c56fe8d	12.6 GB	2 months ago
<none>	<none>	489e06553677	12.6 GB	2 months ago
<none>	<none>	cf88d5b0b5bc	12.6 GB	2 months ago
<none>	<none>	1692ceb6b25f	12.4 GB	2 months ago
<none>	<none>	95b5c29c43e8	12.4 GB	2 months ago
<none>	<none>	573a46d82be0	12.4 GB	2 months ago
<none>	<none>	cc6e4a864163	7.54 GB	2 months ago
<none>	<none>	c664b7bea319	7.54 GB	2 months ago
<none>	<none>	13fd58422741	7.54 GB	2 months ago
<none>	<none>	e59b4e7a1cc0	7.54 GB	2 months ago
<none>	<none>	c47df08c1e98	7.54 GB	2 months ago
<none>	<none>	ea008c32e590	7.54 GB	2 months ago
<none>	<none>	5a3fbe4a56f6	7.54 GB	2 months ago
<none>	<none>	8b5b362bd327	7.54 GB	2 months ago
docker.io/nvidia/cuda	13.2.1-cudnn-devel-ubuntu24.04	27dd470f35a3	7.54 GB	5 months ago
nvcr.io/nvidia/pytorch	<none>	eea3fe49e8a5	19.7 GB	10 months ago
docker.io/nvidia/cuda	13.0.2-cudnn-devel-ubuntu24.04	92bc91097685	7.05 GB	11 months ago
